distance,BB84,E91
20,-0.43136376415898736,-0.26324143477458145
40,-0.42596873227228116,-0.41017446508904926
60,-0.33321467903538243,-0.25181197299379954
80,-0.36797678529459443,-0.17609125905568127
100,-0.316269962220718,-0.20827594242708247
120,-0.43012469204343884,-0.27620641193894907
140,-0.3309932190414244,-0.26324143477458145
160,-0.2887955392469696,-0.3245110915135041
180,-0.3152704347785914,-0.16481024864599217
200,-0.23408320603336796,-0.13830269816628143
220,-0.2671717284030138,-0.2808266095756942
240,-0.32735893438633035,-0.23736091579460392
260,-0.3774183415274359,-0.11650556907143719
280,-0.32735893438633035,-0.13830269816628143
300,-0.32905871926422475,-0.13621974701798903
320,-0.3010299956639812,-0.2218487496163564
340,-0.21085336531489315,-0.3756636139608854
360,-0.2582780152430313,-0.146128035678238
380,-0.40457058757105074,-0.07255066714861173
400,-0.3010299956639812,-0.11650556907143719
420,-0.25272531608942617,-0.17609125905568127
440,-0.3912066260130692,-0.09691001300805639
460,-0.23408320603336796,-0.0791812460476248
480,-0.19457466474969443,-0.2218487496163564
500,-0.146128035678238,-0.0791812460476248
520,-0.27300127206373764,-0.0791812460476248
540,-0.1368379599080077,-0.07572071393811836
560,-0.3152704347785914,-0.06694678963061322
580,-0.25527250510330607,0.0
600,-0.3010299956639812,-0.0334237554869497
620,-0.146128035678238,-0.0377885608893998
640,-0.3010299956639812,-0.09691001300805639
660,-0.23608918873096657,-0.0377885608893998
680,-0.1434221423023131,-0.024823583725032152
700,-0.28630673884327484,-0.01930515519538663
720,-0.2397603389250585,-0.017033339298780342
740,-0.2041199826559248,-0.02020338608828695
760,-0.21260809288144372,-0.045757490560675115
780,-0.1597008428675119,-0.03103423373996879
800,-0.10720996964786837,-0.018483405694013126
820,-0.08167004645131952,-0.03476210625921192
840,-0.1434221423023131,0.0
860,-0.2304489213782739,-0.023481095849522914
880,-0.12493873660829995,-0.01930515519538663
900,-0.18364439694612714,0.0
920,-0.12493873660829995,0.0
940,-0.13353890837021748,0.0
960,-0.1903316981702915,-0.015239966556736846
980,-0.23608918873096657,-0.0377885608893998
1000,-0.2218487496163564,-0.022276394711152253
1020,-0.1368379599080077,-0.021189299069938095
1040,-0.11650556907143719,-0.06694678963061322
1060,-0.11650556907143719,0.0
1080,-0.11650556907143719,0.0
1100,-0.15126767533064908,-0.021189299069938095
1120,-0.23408320603336796,0.0
1140,-0.153228376096177,-0.01639041618816937
1160,-0.16272729749769974,-0.021189299069938095
1180,-0.11997531707674987,-0.017728766960431602
1200,-0.07378621416091867,0.0
1220,-0.1296338578166798,0.0
1240,-0.1296338578166798,0.0
1260,-0.10011515288326783,-0.045757490560675115
1280,-0.08543019532462635,-0.045757490560675115
1300,-0.0543576623225927,-0.07058107428570728
1320,-0.09691001300805639,-0.024823583725032152
1340,-0.13469857389745624,-0.022276394711152253
1360,-0.11539341870206953,0.0
1380,-0.13353890837021748,0.0
1400,-0.11270428019128831,-0.02020338608828695
1420,-0.1549019599857432,-0.023481095849522914
1440,-0.16136800223497486,-0.022276394711152253
1460,-0.1296338578166798,0.0
1480,-0.19457466474969443,-0.04139268515822506
1500,-0.17609125905568127,0.0
1520,-0.10354059190706953,-0.017033339298780342
1540,-0.09017663034908802,-0.03218468337140124
1560,-0.15836249209524966,-0.018483405694013126
1580,-0.27620641193894907,0.0
1600,-0.16272729749769974,0.0
1620,-0.12493873660829995,-0.09691001300805639
1640,-0.19629464514396822,-0.023481095849522914
1660,-0.13469857389745624,-0.11809931207799451
1680,-0.0334237554869497,-0.02020338608828695
1700,-0.11997531707674987,-0.0377885608893998
1720,-0.04830467957455503,-0.02020338608828695
1740,-0.07684003023272232,-0.021189299069938095
1760,-0.20164536352806942,-0.04139268515822506
1780,-0.06494080693301456,0.0
1800,-0.09017663034908802,-0.0434656937810903
1820,-0.1638568026386696,-0.01930515519538663
1840,-0.1638568026386696,-0.04139268515822506
1860,-0.2218487496163564,-0.045757490560675115
1880,-0.12909469637945767,0.0
1900,-0.13830269816628143,-0.017033339298780342
1920,-0.12493873660829995,-0.018483405694013126
1940,-0.17609125905568127,-0.022276394711152253
1960,-0.1903316981702915,-0.021189299069938095
1980,-0.13469857389745624,-0.039508541283673634
