distance,BB84,E91
1,512.18,342.5
2,515.06,341.6
3,513.18,345.4
4,515.02,342.14
5,507.3,342.94
6,514.42,337.52
7,513.04,343.88
8,510.66,342.22
9,508.42,339.54
10,512.34,341.32
11,513.76,343.64
12,510.56,339.48
13,509.66,338.88
14,511.76,344.92
15,514.94,338.66
16,511.0,342.64
17,514.6,345.64
18,517.06,339.78
19,510.38,343.52
20,509.24,344.26
21,513.8,345.3
22,513.7,341.16
23,507.84,342.1
24,512.68,336.12
25,514.64,343.98
26,512.66,342.38
27,508.8,342.14
28,514.26,340.12
29,511.1,342.96
30,511.2,339.84
31,511.48,338.42
32,510.52,342.32
33,507.08,343.84
34,510.48,340.06
35,510.52,343.88
36,512.84,337.98
37,511.82,342.5
38,514.7,343.14
39,514.48,341.2
40,514.98,337.32
41,509.7,339.82
42,511.0,340.52
43,511.12,342.56
44,514.78,343.94
45,511.0,345.7
46,512.72,342.42
47,512.16,342.06
48,512.94,342.08
49,510.54,341.0
50,507.12,343.52
51,514.06,338.46
52,510.12,340.46
53,508.82,339.3
54,514.92,341.1
55,510.46,339.52
56,510.26,343.26
57,509.92,341.7
58,514.7,342.38
59,509.42,342.22
60,512.64,344.56
61,509.16,340.32
62,513.14,342.58
63,513.92,340.46
64,509.52,341.72
65,510.68,340.54
66,512.22,340.72
67,513.96,342.38
68,513.12,343.78
69,515.54,341.56
70,511.68,345.36
71,508.42,342.46
72,512.92,340.44
73,511.92,342.86
74,512.2,342.76
75,513.68,344.4
76,510.78,341.16
77,512.04,340.84
78,514.12,345.26
79,511.24,340.98
80,510.44,339.52
81,509.86,342.42
82,513.8,343.42
83,512.66,343.98
84,516.52,342.56
85,513.64,338.88
86,515.18,345.54
87,510.72,341.64
88,511.32,337.52
89,514.8,343.44
90,508.16,335.98
91,511.26,341.52
92,508.52,342.26
93,509.92,341.46
94,511.06,337.34
95,516.02,342.38
96,511.64,339.66
97,507.22,339.12
98,515.38,335.56
99,517.12,342.78
100,512.42,339.46
101,508.3,341.2
102,510.08,339.48
103,510.52,340.82
104,514.92,340.18
105,518.9,339.34
106,512.82,342.74
107,515.44,338.02
108,510.18,342.9
109,512.44,340.22
110,512.02,339.02
111,512.82,341.9
112,514.94,338.34
113,511.92,345.98
114,511.14,339.32
115,515.58,342.72
116,512.06,341.08
117,513.5,340.38
118,509.16,336.12
119,514.18,336.46
120,509.74,339.48
121,513.24,337.64
122,514.12,339.78
123,509.62,342.76
124,511.72,341.92
125,513.82,341.04
126,514.36,342.3
127,510.76,340.6
128,513.2,342.3
129,513.62,340.08
130,513.0,337.18
131,514.02,339.52
132,511.1,338.5
133,515.44,341.72
134,511.7,339.86
135,514.2,339.36
136,512.92,340.24
137,511.44,339.84
138,517.06,338.86
139,512.22,341.5
140,516.1,342.08
141,515.36,341.54
142,513.86,342.8
143,512.96,340.5
144,511.56,341.94
145,510.54,340.16
146,510.86,337.66
147,513.9,341.56
148,511.0,342.98
149,519.3,343.32
150,508.22,344.82
151,513.56,337.28
152,512.84,338.42
153,514.52,341.78
154,508.56,343.18
155,512.98,341.84
156,510.56,344.22
157,515.68,342.76
158,510.42,340.22
159,509.36,344.94
160,512.6,342.7
161,515.92,341.42
162,513.34,343.38
163,512.74,343.08
164,514.26,344.18
165,510.82,342.1
166,515.42,342.7
167,511.36,343.02
168,511.32,340.54
169,513.9,339.74
170,511.7,343.58
171,513.16,345.24
172,512.36,338.56
173,510.9,340.66
174,513.2,341.9
175,510.38,342.62
176,509.5,339.84
177,510.46,342.62
178,509.26,341.36
179,511.06,341.66
180,513.48,344.0
181,514.06,339.26
182,517.16,341.7
183,510.64,343.7
184,511.58,338.54
185,511.88,341.34
186,512.82,337.98
187,513.2,342.64
188,514.54,346.32
189,510.24,340.64
190,512.12,340.28
191,511.5,342.36
192,510.32,339.76
193,512.8,346.18
194,513.88,339.72
195,512.98,341.56
196,514.32,340.66
197,514.16,339.98
198,510.18,340.14
199,512.4,339.6
200,512.04,340.66
201,513.08,341.06
202,511.28,339.28
203,512.3,345.28
204,513.88,340.8
205,509.34,339.28
206,516.44,342.54
207,512.22,341.96
208,511.28,339.74
209,513.32,342.54
210,512.74,342.84
211,511.64,340.86
212,513.52,344.28
213,512.28,341.98
214,513.98,339.94
215,512.46,339.84
216,515.3,340.08
217,514.24,342.04
218,510.1,337.88
219,510.44,344.46
220,514.86,336.72
221,512.42,342.18
222,514.0,340.24
223,510.16,341.58
224,511.68,341.72
225,511.2,340.02
226,512.08,337.4
227,512.3,338.3
228,513.34,341.14
229,510.76,340.84
230,512.92,345.66
231,513.58,341.74
232,514.12,340.4
233,511.54,344.0
234,510.64,344.32
235,514.14,341.44
236,512.8,338.68
237,510.38,340.6
238,513.06,343.12
239,512.04,344.34
240,509.72,342.0
241,512.26,337.58
242,512.94,342.3
243,512.62,341.04
244,511.38,338.76
245,510.76,338.76
246,512.82,345.42
247,512.84,342.28
248,512.42,344.08
249,506.6,342.5
250,508.88,341.22
251,512.64,340.9
252,510.56,343.42
253,513.04,340.24
254,512.44,339.26
255,510.34,338.2
256,512.02,342.98
257,511.84,341.36
258,508.98,343.28
259,512.86,345.3
260,512.64,342.44
261,510.3,343.82
262,509.2,341.48
263,511.06,341.22
264,510.18,343.48
265,509.96,341.3
266,514.64,337.52
267,511.46,343.22
268,514.92,342.58
269,509.94,340.38
270,510.78,340.88
271,511.48,341.16
272,516.56,342.16
273,509.56,342.28
274,511.92,344.72
275,511.18,340.78
276,511.62,339.86
277,512.28,340.98
278,513.16,340.56
279,514.56,341.04
280,510.74,342.1
281,511.96,340.66
282,508.94,341.56
283,516.44,338.68
284,511.04,340.36
285,515.9,342.26
286,514.82,343.1
287,511.24,339.94
288,513.62,342.96
289,512.8,340.92
290,511.14,344.18
291,512.04,340.72
292,513.56,347.52
293,512.54,338.38
294,511.5,339.48
295,513.2,340.68
296,510.76,340.7
297,513.42,340.6
298,512.68,343.62
299,512.68,342.94
300,512.22,344.5
