distance,BB8401,E9101,BB8402,E9102
1,63.487,55.597,55.677,63.377
2,63.425,55.511,55.472,63.59
3,63.636,55.789,55.459,63.578
4,63.597,55.429,55.643,63.552
5,63.541,55.424,55.622,63.603
6,63.664,55.603,55.481,63.696
7,63.58,55.319,55.464,63.648
8,63.519,55.599,55.493,63.403
9,63.4,55.482,55.578,63.695
10,63.423,55.426,55.623,63.332
11,63.485,55.417,55.398,63.585
12,63.331,55.689,55.251,63.494
13,63.444,55.512,55.586,63.513
14,63.477,55.534,55.455,63.395
15,63.354,55.304,55.635,63.32
16,63.611,55.472,55.356,63.687
17,63.807,55.128,55.188,63.608
18,63.63,55.347,55.219,63.829
19,63.388,55.429,55.246,63.524
20,63.853,55.2,55.142,63.611
21,63.57,55.386,55.205,63.327
22,63.613,55.455,54.905,63.502
23,63.458,55.322,55.012,63.579
24,63.645,55.048,55.076,63.453
25,63.666,55.129,55.035,63.625
26,63.453,55.287,54.904,63.297
27,63.618,55.148,54.834,63.514
28,63.643,55.038,54.767,63.537
29,63.587,54.922,54.553,63.507
30,63.464,54.928,54.294,63.504
31,63.555,54.973,54.546,63.294
32,63.42,54.926,54.212,63.503
33,63.627,54.712,54.207,63.2
34,63.588,54.832,54.147,63.368
35,63.491,54.65,54.178,63.359
36,63.602,54.644,53.944,63.576
37,63.741,54.468,53.807,63.473
38,63.6,54.529,53.676,63.319
39,63.511,54.502,53.408,63.322
40,63.299,54.429,53.492,63.45
41,63.21,54.466,53.409,63.649
42,63.401,54.347,52.988,63.499
43,63.243,54.038,53.183,63.36
44,63.615,54.299,52.993,63.12
45,63.66,54.051,52.747,63.365
46,63.274,54.105,52.647,63.337
47,63.309,53.786,52.559,62.902
48,63.582,53.847,52.417,63.088
49,63.413,53.623,51.885,63.155
50,63.545,53.685,52.046,63.153
51,63.232,53.454,51.725,63.15
52,63.399,53.549,51.393,63.07
53,62.928,53.362,51.282,63.013
54,63.4,53.104,51.089,63.103
55,63.285,53.036,50.74,63.026
56,63.316,52.993,50.453,63.044
57,63.028,52.857,50.284,63.064
58,63.246,52.861,49.908,63.158
59,63.267,52.585,49.661,62.86
60,63.327,52.493,49.046,62.779
61,63.372,52.13,49.034,62.98
62,63.304,52.132,48.347,62.653
63,63.081,51.844,48.282,62.723
64,63.243,51.51,47.826,62.69
65,63.238,51.47,47.424,62.798
66,63.368,51.375,46.828,62.762
67,63.248,51.031,46.505,62.434
68,62.99,50.998,46.096,62.395
69,63.062,50.774,45.644,62.312
70,63.082,50.475,45.262,62.071
71,63.26,50.194,44.517,62.206
72,62.738,50.03,44.163,62.182
73,63.078,49.6,43.579,62.116
74,62.881,49.47,42.935,61.807
75,62.693,49.125,42.314,62.064
76,62.907,49.064,41.592,61.815
77,62.705,48.666,41.027,61.824
78,62.685,48.138,40.493,61.664
79,62.946,48.1,39.69,61.275
80,62.681,47.638,39.015,61.274
81,62.598,47.119,38.305,61.111
82,62.572,47.225,37.768,61.069
83,62.623,46.67,37.465,60.756
84,62.351,46.468,36.563,60.955
85,62.655,46.21,35.486,60.613
86,62.511,45.506,34.789,60.461
87,62.373,45.556,34.1,60.201
88,62.078,44.926,33.449,59.696
89,62.119,44.199,32.59,59.63
90,62.107,44.044,31.639,59.229
91,62.044,43.664,31.056,59.135
92,62.063,42.954,30.198,59.081
93,62.119,42.572,29.408,58.732
94,61.691,42.509,28.37,58.573
95,61.916,41.86,27.474,57.996
96,61.597,41.042,26.805,57.937
97,61.539,40.881,26.331,57.632
98,61.663,40.294,25.528,57.108
99,61.26,39.606,24.693,56.7
100,61.232,39.171,23.836,56.306
101,61.122,38.672,23.193,56.014
102,61.01,38.134,22.417,55.623
103,61.106,37.277,21.4,55.001
104,60.823,36.819,20.989,54.353
105,60.493,36.512,20.152,53.534
106,60.628,35.548,19.343,53.558
107,60.601,35.063,18.578,52.708
108,60.386,34.603,18.047,52.049
109,60.307,34.032,17.278,51.308
110,59.936,33.54,16.792,50.6
111,59.592,32.846,15.946,49.862
112,59.578,32.063,15.33,48.978
113,59.203,31.388,14.693,48.324
114,59.054,30.974,14.153,47.309
115,58.77,29.997,13.524,46.243
116,58.717,29.742,13.037,45.489
117,58.696,29.036,12.31,44.31
118,58.123,28.324,12.074,43.14
119,57.965,27.851,11.435,41.945
120,57.791,26.997,10.922,40.724
121,57.746,26.345,10.327,39.519
122,57.244,25.769,9.818,37.899
123,57.185,25.202,9.506,36.048
124,56.586,24.366,9.088,34.853
125,56.208,23.651,8.698,33.055
126,56.014,23.233,8.465,30.904
127,55.45,22.969,8.005,29.187
128,55.06,22.042,7.598,27.132
129,54.79,21.475,7.178,25.143
130,54.541,20.977,6.985,22.989
131,54.293,20.288,6.623,20.516
132,53.741,19.61,6.499,17.685
133,53.096,19.298,6.013,15.072
134,52.604,18.476,5.802,12.141
135,52.11,18.255,5.378,9.243
136,51.755,17.477,5.252,5.926
137,50.885,16.845,5.054,2.612
138,50.496,16.274,4.853,0.0
139,49.878,15.764,4.598,0.0
140,49.197,15.317,4.322,0.0
141,48.28,14.921,4.206,0.0
142,47.877,14.428,3.969,0.0
143,46.999,14.061,3.745,0.0
144,46.223,13.588,3.592,0.0
145,45.299,13.021,3.28,0.0
146,44.525,12.708,3.244,0.0
147,43.694,12.175,3.061,0.0
148,42.818,11.769,3.039,0.0
149,41.681,11.281,2.763,0.0
150,40.757,10.995,2.658,0.0
151,39.523,10.611,2.6,0.0
152,38.416,10.213,2.428,0.0
153,37.521,9.839,2.429,0.0
154,35.84,9.356,2.297,0.0
155,34.835,9.079,2.196,0.0
156,33.245,8.714,2.121,0.0
157,31.856,8.54,1.997,0.0
158,30.513,8.115,1.948,0.0
159,28.866,8.043,1.892,0.0
160,27.3,7.466,1.764,0.0
161,25.487,7.274,1.741,0.0
162,23.631,6.918,1.612,0.0
163,21.781,6.837,1.57,0.0
164,20.037,6.489,1.574,0.0
165,17.84,6.292,1.536,0.0
166,15.797,5.995,1.443,0.0
167,13.361,5.822,1.379,0.0
168,11.047,5.486,1.365,0.0
169,8.749,5.306,1.33,0.0
170,6.085,5.193,1.299,0.0
171,3.328,5.103,1.24,0.0
172,0.429,4.751,1.16,0.0
173,0.0,4.594,1.195,0.0
174,0.0,4.55,1.076,0.0
175,0.0,4.33,1.099,0.0
176,0.0,4.088,1.053,0.0
177,0.0,4.022,0.978,0.0
178,0.0,3.888,1.017,0.0
179,0.0,3.731,0.992,0.0
180,0.0,3.572,0.953,0.0
181,0.0,3.504,0.909,0.0
182,0.0,3.288,0.818,0.0
183,0.0,3.164,0.889,0.0
184,0.0,3.11,0.821,0.0
