distance,BB84,E91
1,732.96,610.64
2,732.74,606.58
3,729.76,601.96
4,731.34,592.46
5,715.52,589.18
6,713.1,585.44
7,709.3,574.7
8,704.34,569.82
9,698.38,563.94
10,691.94,559.12
11,688.44,557.54
12,683.44,551.7
13,675.72,546.26
14,673.98,534.46
15,664.12,530.66
16,664.24,520.66
17,658.88,516.32
18,657.22,515.24
19,645.86,512.3
20,645.22,500.44
21,641.04,493.82
22,637.06,492.72
23,630.1,482.9
24,626.12,484.64
25,620.8,472.42
26,618.48,467.1
27,609.6,460.28
28,605.3,453.46
29,602.44,448.78
30,596.3,441.32
31,593.74,436.54
32,588.54,433.22
33,586.64,428.5
34,582.12,423.26
35,574.68,416.24
36,567.46,406.0
37,562.8,401.26
38,559.12,401.7
39,553.98,389.9
40,550.06,386.84
41,543.76,378.98
42,541.82,374.46
43,535.78,366.58
44,528.36,360.24
45,521.5,354.52
46,520.08,351.28
47,513.52,343.5
48,508.42,337.4
49,508.8,331.94
50,498.84,323.2
51,498.62,320.56
52,495.62,314.3
53,481.88,307.54
54,487.06,307.16
55,472.84,299.52
56,469.5,289.12
57,465.78,287.22
58,463.02,282.38
59,457.74,276.88
60,449.1,268.8
61,445.08,262.16
62,442.98,258.92
63,436.78,250.04
64,430.26,247.7
65,425.04,241.24
66,423.96,237.92
67,418.26,231.08
68,412.52,224.56
69,410.54,216.18
70,402.74,213.42
71,402.42,205.14
72,395.68,199.96
73,388.28,194.12
74,383.68,184.5
75,379.66,184.4
76,373.56,177.44
77,367.82,169.68
78,364.44,165.36
79,362.62,158.62
80,359.48,155.28
81,349.98,149.14
82,345.88,142.82
83,341.8,134.62
84,338.66,133.02
85,330.76,121.94
86,322.7,120.44
87,320.14,112.16
88,318.88,106.66
89,312.4,101.08
90,304.42,93.74
91,303.08,89.86
92,297.92,84.06
93,294.24,78.46
94,286.3,70.36
95,286.98,68.02
96,275.12,59.78
97,271.86,54.58
98,271.16,48.34
99,264.42,42.8
100,258.08,36.82
101,254.14,33.54
102,256.36,33.0
103,257.92,32.82
104,258.86,33.66
105,256.32,33.0
106,258.28,33.84
107,253.98,33.18
108,257.04,32.54
109,256.36,32.58
110,255.72,32.34
111,255.22,33.9
112,255.68,33.56
113,257.78,33.84
114,254.34,33.12
115,257.26,32.98
116,257.78,33.26
117,253.44,34.28
118,256.2,33.4
119,257.4,33.72
120,256.16,34.32
121,258.48,32.22
122,251.8,32.3
123,256.72,31.66
124,256.08,32.14
125,257.36,32.92
126,256.36,33.78
127,252.9,32.56
128,257.58,32.92
129,255.94,33.94
130,253.98,33.22
131,255.7,33.24
132,251.4,31.9
133,254.18,34.08
134,253.28,32.84
135,256.32,33.96
136,258.8,33.42
137,255.9,34.0
138,256.5,32.84
139,258.5,32.62
140,257.14,32.92
141,255.66,32.1
142,251.42,31.76
143,255.5,33.14
144,256.22,32.56
145,255.4,33.8
146,257.48,32.38
147,254.76,33.5
148,253.8,33.92
149,255.76,33.74
150,259.08,33.06
151,254.22,33.1
152,255.5,34.1
153,254.2,34.42
154,253.76,33.14
155,255.94,32.98
156,255.42,33.28
157,257.4,33.02
158,256.7,32.5
159,253.46,33.4
160,256.66,33.74
161,257.36,33.76
162,258.16,33.3
163,259.92,34.02
164,260.08,34.22
165,254.48,34.5
166,254.84,34.6
167,260.04,33.9
168,254.42,33.72
169,254.44,34.36
170,257.12,34.3
171,257.72,31.96
172,253.4,33.58
173,255.76,33.48
174,254.64,34.28
175,256.96,34.6
176,257.28,34.1
177,258.94,33.28
178,254.3,32.9
179,255.14,34.22
180,256.28,32.82
181,256.2,31.46
182,256.66,33.54
183,253.68,32.74
184,257.04,34.0
185,252.7,32.76
186,262.48,32.96
187,254.74,33.5
188,256.64,33.76
189,253.1,32.84
190,259.98,33.56
191,257.72,32.52
192,256.64,32.26
193,255.2,32.96
194,254.26,33.78
195,252.28,33.04
196,254.5,33.7
197,252.64,33.72
198,257.66,32.56
199,254.8,33.3
200,254.28,33.14
201,256.22,33.14
202,257.02,33.02
203,256.9,32.52
204,254.3,33.76
205,255.46,32.84
206,252.72,34.4
207,259.2,33.62
208,255.6,32.36
209,255.94,33.5
210,251.94,34.04
211,252.2,33.5
212,255.02,32.22
213,261.52,33.38
214,258.52,32.2
215,255.24,33.98
216,253.28,33.9
217,256.7,33.62
218,256.0,33.22
219,258.08,33.16
220,253.98,31.64
221,256.28,33.76
222,250.9,33.04
223,257.22,32.24
224,255.6,34.44
225,253.78,33.5
226,256.26,34.16
227,256.98,33.06
228,253.4,32.44
229,255.24,34.56
230,254.98,32.72
